Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC6237,788.0,292.0,-0.0068,0.0211,0.0233,288.0,736.0,0.0129,0.0146,0.0117
NGC6267,745.0,297.0,0.0002,0.0133,0.0107,305.0,662.0,-0.0271,0.0115,0.0092
NGC6339,764.0,293.0,-0.0223,0.0148,0.0119,301.0,755.0,-0.0429,0.0126,0.0101
NGC6412,774.0,302.0,-0.0012,0.019,0.0168,291.0,565.0,0.0132,0.0139,0.0113
NGC6889,761.0,555.0,0.0218,0.0162,0.013,774.0,318.0,0.0452,0.015,0.0121
NGC7051,783.0,416.0,0.1061,0.0172,0.0138,778.0,451.0,0.2661,0.0178,0.0143
NGC7070,755.0,572.0,0.0519,0.0163,0.0131,764.0,532.0,0.1515,0.0162,0.013
NGC7079,752.0,580.0,0.0478,0.0166,0.0138,762.0,538.0,0.1238,0.0161,0.013
NGC7091,767.0,562.0,0.0507,0.012,0.0097,289.0,290.0,0.1248,0.012,0.0097
NGC7140,740.0,749.0,0.0437,0.0143,0.0114,300.0,301.0,0.0437,0.0133,0.0107
NGC7154,746.0,595.0,0.0353,0.0157,0.0126,778.0,358.0,0.0555,0.0148,0.012
NGC7162A,728.0,629.0,0.028,0.016,0.013,772.0,311.0,-0.0126,0.0148,0.0121
NGC7179,579.0,760.0,-0.0008,0.0159,0.0128,746.0,582.0,0.0163,0.0145,0.0116
NGC7280,782.0,385.0,0.0611,0.016,0.0128,771.0,503.0,0.1176,0.0158,0.0127
NGC7418,1049.0,1066.0,0.0393,0.0179,0.0144,1072.0,780.0,0.0326,0.0168,0.0135
NGC7421,690.0,680.0,0.059,0.0158,0.0127,778.0,439.0,0.0541,0.0148,0.0119
NGC7424,1099.0,713.0,0.0371,0.0183,0.0147,1208.0,427.0,0.0388,0.0172,0.0138
NGC7479,321.0,325.0,0.0343,0.0109,0.0087,787.0,603.0,0.0698,0.0146,0.0118
NGC7496,744.0,606.0,0.0561,0.0158,0.0127,758.0,553.0,0.1191,0.0158,0.0127
NGC7513,738.0,620.0,0.0478,0.0161,0.0129,772.0,493.0,0.1058,0.0158,0.0127
NGC7661,604.0,786.0,0.0058,0.0145,0.0116,294.0,304.0,0.0581,0.0136,0.0109
NGC7723,279.0,288.0,0.0924,0.0134,0.0107,777.0,530.0,0.1995,0.0134,0.0108
NGC7724,279.0,288.0,0.0834,0.0132,0.0106,777.0,530.0,0.1987,0.0139,0.0113
NGC7741,316.0,314.0,0.045,0.0052,0.0042,793.0,571.0,0.128,0.0081,0.0066
NGC7755,993.0,815.0,0.0516,0.0192,0.0154,1056.0,672.0,0.1019,0.0188,0.015
NGC7757,282.0,284.0,0.1083,0.0121,0.0098,768.0,525.0,0.2791,0.0133,0.0107
NGC7764,604.0,755.0,0.0271,0.0165,0.0132,778.0,456.0,0.0291,0.0149,0.0119
NGC7798,324.0,329.0,0.028,0.0114,0.0092,781.0,621.0,0.0562,0.0145,0.0117
PGC002492,764.0,557.0,0.0543,0.0167,0.0136,779.0,448.0,0.1453,0.0165,0.0135
PGC003853,836.0,581.0,0.0897,0.0104,0.0084,346.0,336.0,0.2244,0.0162,0.0131
PGC006626,278.0,287.0,0.0792,0.0139,0.0113,775.0,528.0,0.2192,0.0138,0.0112
PGC006667,812.0,646.0,0.0515,0.0101,0.008,354.0,345.0,0.0801,0.0139,0.0112
PGC012068,782.0,442.0,0.1198,0.0188,0.015,778.0,449.0,0.1795,0.0173,0.0139
PGC012664,270.0,268.0,0.1648,0.016,0.0128,778.0,458.0,0.1672,0.0144,0.0115
PGC015869,246.0,309.0,0.0523,0.0141,0.0112,784.0,323.0,0.1389,0.0139,0.0111
PGC016784,258.0,358.0,0.0494,0.0144,0.0115,790.0,344.0,0.0724,0.0142,0.0114
PGC032091,783.0,474.0,0.0846,0.0163,0.0131,789.0,479.0,0.247,0.017,0.0136
PGC036217,786.0,487.0,0.089,0.0166,0.0133,785.0,478.0,0.2726,0.0177,0.0143
PGC037373,789.0,511.0,0.0688,0.0162,0.0156,782.0,457.0,0.0781,0.0163,0.0131
PGC042868,782.0,488.0,0.1101,0.0166,0.0133,786.0,485.0,0.27,0.0177,0.0142
PGC045195,1114.0,650.0,0.1264,0.0167,0.0135,608.0,867.0,0.2591,0.0176,0.0142
PGC048179,796.0,280.0,0.0924,0.0124,0.01,285.0,472.0,0.1796,0.013,0.0105
PGC053093,797.0,275.0,0.047,0.0124,0.0103,280.0,449.0,0.0928,0.0116,0.0094
PGC054944,797.0,274.0,0.0405,0.0128,0.0105,280.0,465.0,0.0742,0.0114,0.0092
PGC066559,784.0,407.0,0.069,0.0169,0.0135,775.0,467.0,0.1507,0.0168,0.0136
PGC067871,779.0,496.0,0.0454,0.0118,0.0095,274.0,282.0,0.0988,0.0109,0.0089
PGC068771,779.0,476.0,0.0821,0.0166,0.0133,773.0,489.0,0.2314,0.0169,0.0136
UGC01551,277.0,285.0,0.0811,0.0139,0.0112,777.0,519.0,0.0889,0.013,0.0105
UGC04390,580.0,551.0,0.0118,0.0156,0.0125,769.0,749.0,-0.0159,0.0145,0.0117
UGC04393,238.0,305.0,0.0274,0.0108,0.0087,777.0,240.0,0.0777,0.0136,0.0109
UGC04621,789.0,429.0,0.0716,0.0163,0.0131,789.0,497.0,0.1533,0.0162,0.013
UGC04867,776.0,466.0,0.0413,0.016,0.0128,789.0,520.0,0.0693,0.0161,0.0129
UGC05004,279.0,485.0,0.075,0.0131,0.0105,790.0,285.0,0.2002,0.0179,0.0144
UGC05354,733.0,544.0,0.0247,0.0156,0.0125,771.0,619.0,0.0225,0.0152,0.0122
UGC05478,766.0,499.0,0.0619,0.0162,0.013,785.0,555.0,0.0472,0.0165,0.0133
UGC05612,299.0,705.0,0.0273,0.0154,0.0123,664.0,762.0,-0.0327,0.015,0.0123
UGC05633,279.0,485.0,0.0874,0.0123,0.0099,790.0,285.0,0.0916,0.012,0.0097
UGC05676,781.0,547.0,0.0261,0.0164,0.0131,772.0,498.0,0.0869,0.0153,0.0123
UGC05688,342.0,691.0,0.0315,0.0167,0.0141,678.0,776.0,0.0136,0.0144,0.0116
UGC05707,291.0,554.0,0.0418,0.0145,0.0116,786.0,295.0,0.111,0.0134,0.0107
UGC05934,288.0,536.0,0.0708,0.0134,0.0107,792.0,293.0,0.0713,0.0132,0.0106
UGC06157,284.0,516.0,0.1044,0.0131,0.0106,791.0,289.0,0.1183,0.0135,0.0108
UGC06194,286.0,524.0,0.0973,0.0124,0.0099,785.0,290.0,0.2592,0.0129,0.0105
UGC06309,600.0,635.0,0.0286,0.0154,0.0123,730.0,738.0,-0.0177,0.0148,0.0119
UGC06816,300.0,694.0,0.0175,0.0144,0.0115,792.0,302.0,0.0623,0.0135,0.0108
UGC06903,783.0,501.0,0.1233,0.0176,0.0143,781.0,490.0,0.2637,0.019,0.0155
UGC06917,301.0,661.0,0.0291,0.0143,0.0114,793.0,302.0,0.0183,0.0137,0.0109
UGC06930,371.0,712.0,0.0413,0.0087,0.007,782.0,354.0,0.1312,0.0147,0.0118
UGC06983,765.0,676.0,0.0424,0.016,0.0128,697.0,551.0,0.1118,0.0159,0.0128
UGC07129,776.0,619.0,0.0421,0.0155,0.0124,740.0,521.0,0.1507,0.0159,0.0128
UGC07133,763.0,469.0,0.0544,0.0158,0.0127,788.0,558.0,0.0881,0.0156,0.0126
UGC07239,780.0,442.0,0.0703,0.0158,0.0127,791.0,509.0,0.0771,0.0157,0.0127
UGC07257,786.0,296.0,0.0229,0.0148,0.0118,293.0,709.0,0.0714,0.0143,0.0114
UGC07700,293.0,745.0,0.0238,0.0147,0.0118,787.0,294.0,0.0265,0.0156,0.0141
UGC07943,285.0,501.0,0.1071,0.0125,0.01,785.0,286.0,0.3228,0.0133,0.0108
UGC08041,814.0,403.0,0.0528,0.0209,0.0168,317.0,629.0,0.1006,0.0252,0.0203
UGC08056,793.0,290.0,0.0498,0.0132,0.0106,291.0,565.0,0.0423,0.013,0.0105
UGC08084,787.0,286.0,0.052,0.0121,0.0097,294.0,520.0,0.1339,0.0122,0.0098
UGC08597,652.0,677.0,0.0237,0.0157,0.0127,696.0,707.0,0.0568,0.0149,0.0121
UGC08733,689.0,568.0,0.0065,0.0157,0.0129,765.0,674.0,0.0414,0.0151,0.0124
UGC08877,678.0,604.0,0.031,0.0156,0.0125,747.0,684.0,0.0038,0.0147,0.0118
UGC09215,797.0,284.0,0.0885,0.0152,0.0124,286.0,529.0,0.1602,0.0136,0.0109
UGC09291,615.0,288.0,-0.0106,0.0154,0.0124,777.0,734.0,-0.0324,0.0143,0.0115
UGC09569,783.0,277.0,-0.0019,0.0161,0.0129,280.0,778.0,0.0076,0.0145,0.0117
UGC09601,788.0,285.0,0.0309,0.0122,0.0099,293.0,515.0,0.0648,0.0118,0.0095
UGC09661,798.0,280.0,0.0814,0.0138,0.011,281.0,498.0,0.0645,0.0133,0.0108
UGC09730,527.0,777.0,-0.0158,0.0154,0.0124,760.0,544.0,-0.0223,0.0139,0.0112
UGC10290,795.0,279.0,0.0574,0.0144,0.0115,281.0,492.0,0.0995,0.0132,0.0106
UGC10791,696.0,296.0,0.0205,0.0174,0.0139,308.0,772.0,0.0222,0.0145,0.0117
UGC10854,752.0,295.0,-0.0178,0.0151,0.0123,305.0,766.0,-0.018,0.0133,0.0107
UGC11782,781.0,350.0,0.0396,0.017,0.0137,776.0,461.0,0.1556,0.0167,0.0135
UGC12151,781.0,472.0,0.0989,0.0165,0.0132,771.0,499.0,0.19,0.0166,0.0133
UGC12681,291.0,294.0,0.0338,0.013,0.0105,750.0,599.0,0.0622,0.0118,0.0095
UGC12707,291.0,294.0,0.0306,0.0119,0.0096,750.0,596.0,0.0664,0.0114,0.0092
UGC12732,289.0,290.0,0.0725,0.013,0.0105,765.0,578.0,0.0957,0.013,0.0106
