Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC1483,291.0,293.0,-0.0076,0.0154,0.0123,759.0,601.0,0.0224,0.0139,0.0111
NGC1493,630.0,641.0,0.0155,0.0189,0.015,1071.0,956.0,0.0484,0.0179,0.0142
NGC1533,295.0,299.0,0.0136,0.0182,0.0158,775.0,713.0,0.0255,0.0133,0.0106
NGC1559,782.0,853.0,0.0135,0.0076,0.0061,690.0,758.0,0.0138,0.0123,0.0101
NGC1637,271.0,235.0,0.0539,0.0051,0.0042,814.0,241.0,0.1229,0.0063,0.0053
NGC1640,259.0,275.0,0.0375,0.0142,0.0113,781.0,402.0,0.0705,0.0141,0.0113
NGC1672,381.0,916.0,0.0166,0.0094,0.0083,645.0,439.0,0.0315,0.0091,0.0077
NGC1679,236.0,412.0,0.0256,0.01,0.008,776.0,359.0,0.0617,0.0133,0.0107
NGC1688,289.0,294.0,0.0052,0.0145,0.0116,755.0,755.0,0.0213,0.0135,0.0108
NGC1800,241.0,319.0,0.0241,0.0072,0.0058,779.0,239.0,0.0606,0.0108,0.0087
NGC1879,266.0,398.0,0.034,0.0144,0.0114,792.0,334.0,0.0593,0.014,0.0114
NGC2500,845.0,363.0,0.0429,0.0158,0.0156,340.0,570.0,0.0549,0.017,0.0137
NGC2608,819.0,366.0,0.0682,0.0213,0.0171,296.0,524.0,0.1272,0.0263,0.0211
NGC2633,1001.0,851.0,0.0254,0.0108,0.0087,1261.0,574.0,0.0574,0.0148,0.0119
NGC2743,788.0,436.0,0.0924,0.0167,0.0134,790.0,455.0,0.2571,0.0176,0.0142
NGC2780,784.0,459.0,0.0608,0.0162,0.0129,790.0,487.0,0.1,0.0165,0.0133
NGC2893,817.0,407.0,0.0416,0.0218,0.0176,330.0,653.0,0.0297,0.0247,0.0198
NGC2938,363.0,589.0,0.0058,0.0155,0.0126,754.0,778.0,0.0002,0.0138,0.0111
NGC3020,338.0,534.0,0.1823,0.0224,0.0181,849.0,350.0,0.4851,0.0311,0.0249
NGC3023,309.0,531.0,0.0569,0.0125,0.0102,804.0,307.0,0.1215,0.0172,0.014
NGC3049,802.0,280.0,0.0321,0.0072,0.0058,284.0,451.0,0.0243,0.0109,0.0089
NGC3057,299.0,650.0,-0.0063,0.0154,0.0123,717.0,791.0,-0.0087,0.0137,0.0111
NGC3061,299.0,685.0,-0.0057,0.0151,0.0121,686.0,790.0,-0.0357,0.0137,0.0111
NGC3066,303.0,667.0,0.0013,0.0154,0.0124,705.0,771.0,-0.0443,0.0142,0.0115
NGC3153,793.0,477.0,0.109,0.0163,0.0131,785.0,482.0,0.1978,0.0167,0.0135
NGC3155,300.0,664.0,0.0051,0.0154,0.0123,707.0,760.0,-0.0288,0.014,0.0113
NGC3166,604.0,871.0,0.0677,0.0155,0.0124,1097.0,643.0,0.0772,0.0145,0.0118
NGC3206,721.0,439.0,0.0027,0.0206,0.0166,356.0,845.0,0.002,0.0244,0.0195
NGC3254,302.0,614.0,0.0876,0.0249,0.0199,811.0,421.0,0.1969,0.0317,0.0254
NGC3319,257.0,470.0,0.0166,0.0053,0.0043,788.0,358.0,0.0334,0.0068,0.0055
NGC3346,280.0,498.0,0.0974,0.0125,0.0101,790.0,286.0,0.1176,0.013,0.0105
NGC3351,1078.0,559.0,0.0836,0.0093,0.0075,575.0,769.0,0.1936,0.0153,0.0124
NGC3359,670.0,1046.0,0.0396,0.0156,0.0125,1065.0,666.0,0.0694,0.0153,0.0123
NGC3380,286.0,530.0,0.085,0.0134,0.0108,792.0,292.0,0.1934,0.0134,0.0108
NGC3381,343.0,429.0,0.0358,0.02,0.0161,877.0,328.0,0.0472,0.0237,0.019
NGC3447,281.0,504.0,0.0731,0.0127,0.0102,790.0,288.0,0.1002,0.0131,0.0106
NGC3485,283.0,507.0,0.104,0.0129,0.0103,790.0,288.0,0.1228,0.0131,0.0106
NGC3489,760.0,323.0,0.0653,0.0235,0.0187,264.0,551.0,0.1299,0.0303,0.0244
